,Time,Value
0,0.0,0.085
1,0.01,0.0895
2,0.02,0.0875
3,0.03,0.0915
4,0.04,0.089
5,0.05,0.0935
6,0.060000000000000005,0.0895
7,0.07,0.083
8,0.08,0.0865
9,0.09,0.0885
10,0.09999999999999999,0.0915
11,0.10999999999999999,0.0915
12,0.11999999999999998,0.097
13,0.12999999999999998,0.091
14,0.13999999999999999,0.0835
15,0.15,0.084
16,0.16,0.0795
17,0.17,0.0795
18,0.18000000000000002,0.079
19,0.19000000000000003,0.085
20,0.20000000000000004,0.086
21,0.21000000000000005,0.082
22,0.22000000000000006,0.084
23,0.23000000000000007,0.082
24,0.24000000000000007,0.091
25,0.25000000000000006,0.092
26,0.26000000000000006,0.0895
27,0.2700000000000001,0.092
28,0.2800000000000001,0.091
29,0.2900000000000001,0.0925
30,0.3000000000000001,0.0935
31,0.3100000000000001,0.095
32,0.3200000000000001,0.093
33,0.3300000000000001,0.092
34,0.34000000000000014,0.0925
35,0.35000000000000014,0.092
36,0.36000000000000015,0.087
37,0.37000000000000016,0.0875
38,0.38000000000000017,0.09
39,0.3900000000000002,0.093
40,0.4000000000000002,0.095
41,0.4100000000000002,0.089
42,0.4200000000000002,0.0905
43,0.4300000000000002,0.0915
44,0.4400000000000002,0.0965
45,0.45000000000000023,0.101
46,0.46000000000000024,0.099
47,0.47000000000000025,0.0955
48,0.48000000000000026,0.0885
49,0.49000000000000027,0.092
50,0.5000000000000002,0.0965
51,0.5100000000000002,0.099
52,0.5200000000000002,0.103
53,0.5300000000000002,0.099
54,0.5400000000000003,0.091
55,0.5500000000000003,0.094
56,0.5600000000000003,0.0925
57,0.5700000000000003,0.087
58,0.5800000000000003,0.0925
59,0.5900000000000003,0.092
60,0.6000000000000003,0.091
61,0.6100000000000003,0.089
62,0.6200000000000003,0.0865
63,0.6300000000000003,0.0895
64,0.6400000000000003,0.0895
65,0.6500000000000004,0.0945
66,0.6600000000000004,0.1035
67,0.6700000000000004,0.1035
68,0.6800000000000004,0.0975
69,0.6900000000000004,0.0945
70,0.7000000000000004,0.0945
71,0.7100000000000004,0.096
72,0.7200000000000004,0.0925
73,0.7300000000000004,0.092
74,0.7400000000000004,0.096
75,0.7500000000000004,0.0935
76,0.7600000000000005,0.09
77,0.7700000000000005,0.093
78,0.7800000000000005,0.0915
79,0.7900000000000005,0.0885
80,0.8000000000000005,0.0905
81,0.8100000000000005,0.0885
82,0.8200000000000005,0.09
83,0.8300000000000005,0.093
84,0.8400000000000005,0.093
85,0.8500000000000005,0.091
86,0.8600000000000005,0.0865
87,0.8700000000000006,0.0875
88,0.8800000000000006,0.092
89,0.8900000000000006,0.091
90,0.9000000000000006,0.0895
91,0.9100000000000006,0.098
92,0.9200000000000006,0.0955
93,0.9300000000000006,0.092
94,0.9400000000000006,0.0965
95,0.9500000000000006,0.089
96,0.9600000000000006,0.0875
97,0.9700000000000006,0.092
98,0.9800000000000006,0.0925
99,0.9900000000000007,0.0915
100,1.0000000000000007,0.087
101,1.0100000000000007,0.087
102,1.0200000000000007,0.088
103,1.0300000000000007,0.0895
104,1.0400000000000007,0.086
105,1.0500000000000007,0.092
106,1.0600000000000007,0.1005
107,1.0700000000000007,0.0955
108,1.0800000000000007,0.096
109,1.0900000000000007,0.096
110,1.1000000000000008,0.095
111,1.1100000000000008,0.1025
112,1.1200000000000008,0.103
